id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
632264892256_2589,"toilet Clean Bomb","specification: One pack",https://picksugar.com/wp-content/uploads/2021/02/1-1-1.jpg,https://picksugar.com/product/toilet-clean-bomb?attribute_specification=One+pack,"household","picksugar",16.9USD,in stock,632264892256_2576,,"https://picksugar.com/wp-content/uploads/2021/02/主图-2.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-1.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16.9USD,new,published,,,,,4980,,"specification:One pack/Two pack/Four pack:One pack"
632264892256_2590,"toilet Clean Bomb","specification: Two pack",https://picksugar.com/wp-content/uploads/2021/02/1-2.jpg,https://picksugar.com/product/toilet-clean-bomb?attribute_specification=Two+pack,"household","picksugar",26.9USD,in stock,632264892256_2576,,"https://picksugar.com/wp-content/uploads/2021/02/主图-2.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-1.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,26.9USD,new,published,,,,,4980,,"specification:One pack/Two pack/Four pack:Two pack"
632264892256_2591,"toilet Clean Bomb","specification: Four pack",https://picksugar.com/wp-content/uploads/2021/02/1-3.jpg,https://picksugar.com/product/toilet-clean-bomb?attribute_specification=Four+pack,"household","picksugar",36.9USD,in stock,632264892256_2576,,"https://picksugar.com/wp-content/uploads/2021/02/主图-2.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-1.jpg,https://picksugar.com/wp-content/uploads/2021/02/主图-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36.9USD,new,published,,,,,4980,,"specification:One pack/Two pack/Four pack:Four pack"
